Slug	EN	DE	PL	RU	NL	FR	CZ	UA	HR	GR	PT	TR	BG	HU	ES	IT	SR	RO
confirm_qr_code	Confirm QR code	QR-Code bestätigen	Potwierdź kod QR	Подтвердить QR-код	QR-code bevestigen	Confirmer le code QR	Potvrdit QR kód	Підтвердити QR-код	Potvrdi QR kôd	Επιβεβαίωση κωδικού QR	Confirmar código QR	QR kodu onayla	Потвърждаване на QR код	QR-kód megerősítése	Confirmar código QR	Conferma il codice QR	Потврдите QR код	Confirmați codul QR
confirm_online_registration	Confirm Online registration	Online-Registrierung bestätigen	Potwierdź rejestrację online	Подтвердить онлайн-регистрацию	Online-registratie bevestigen	Confirmer l'inscription en ligne	Potvrdit online registraci	Підтвердити онлайн-реєстрацію	Potvrdite internetsku registraciju	Επιβεβαιώστε τη διαδικτυακή εγγραφή	Confirmar inscrição online	Çevrimiçi kaydı onayla	Потвърждаване на онлайн регистрация	Online regisztráció megerősítése	Confirmar registro en línea	Conferma la registrazione online	Потврдите онлајн регистрацију	Confirmați înregistrarea online
delete_profile	Delete profile	Profil löschen	Usuń profil	Удалить профиль	Profiel wissen	Supprimer le profil	Odstranit profil	Видалити профіль	Izbriši profil	Διαγραφή προφίλ	Eliminar perfil	Profili sil	Изтриване на профил	Profil törlése	Eliminar perfil	Elimina il profilo	Избриши профил	Ștergeți profilul
disable_biometrics	Disable biometrics	Biometrie deaktivieren	Dezaktywuj biometrykę	Деактивировать биометрические данные	Biometrie deactiveren	Désactiver les données biométriques	Zakázat biometrii	Відключити біометрію	Onemogući biometriju	Απενεργοποίηση βιομετρικών δεδομένων	Desativar biometria	Biyometriği devre dışı bırak	Деактивиране на биометрични данни	Biometria letiltása	Desactivar datos biométricos	Disabilita i dati biometrici	Онемогући биометрију	Dezactivați biometria
safety_guidelines_download_description	Tap the document icon to open the Safety Guidelines for destination XXX	Tippen Sie auf das Dokumenten-Symbol, um die Sicherheitsrichtlinien für den Standort XXX zu öffnen	Dotknij ikony dokumentu, aby otworzyć wytyczne bezpieczeństwa dla lokalizacji XXX	Нажмите на значок документа, чтобы открыть указания по безопасности для места дислокации ХХХ	Tik op het documentsymbool om de veiligheidsrichtlijnen voor de locatie XXX te openen	Appuyez sur l'icône du document pour ouvrir les consignes de sécurité concernant la destination XXX	Po poťukání na ikonu dokumentu otevřete bezpečnostní směrnice pro místo určení XXX	Торкніться значка документа, щоб відкрити Правила безпеки для пункту призначення XXX	Dodirnite ikonu dokumenta za otvaranje Sigurnosnih smjernica odredišta XXX	Πατήστε το εικονίδιο του εγγράφου για να ανοίξετε τις οδηγίες ασφαλείας για τον προορισμό XXX	Toque no ícone do documento para abrir as Diretrizes de Segurança para o destino XXX	XXX hedefi için “Güvenlik Yönergeleri”ni açmak üzere belge simgesine dokunun	Докоснете иконата на документа, за да отворите указанията за безопасност за дестинация XXX.	Koppintson a dokumentum ikonra a(z) XXX célállomásra vonatkozó Biztonsági iránymutatások megnyitásához	Pulse sobre el icono del documento para abrir las Directrices de seguridad para el destino XXX.	Tocca l’icona del documento per aprire le linee guida per la sicurezza nella destinazione XXX	Додирните икону документа да бисте отворили Безбедносне смернице за одредиште XXX	Atingeți pictograma documentului pentru a deschide orientările de siguranță pentru destinație XXX
safety_guidelines_read_description	I have read the safety guidelines of destination XXX	Ich habe die Sicherheitsrichtlinien des Standorts XXX gelesen	Zapoznałem się z wytycznymi bezpieczeństwa lokalizacji XXX	Я прочел указания по безопасности для места дислокации ХХХ	Ik heb de veiligheidsrichtlijnen voor de locatie XXX gelezen	J'ai lu les consignes de sécurité concernant la destination XXX	Přečetl/a jsem si bezpečnostní směrnice místa určení XXX	Я ознайомлений(-а) з правилами безпеки пункту призначення XXX	Pročitao/la sam Sigurnosne smjernice odredišta XXX	Έχω διαβάσει τις οδηγίες ασφαλείας του προορισμού XXX	Li as diretrizes de segurança do destino XXX	XXX hedefi için güvenlik yönergelerini okudum	Прочетох указанията за безопасност на дестинация XXX.	Elolvastam a(z) XXX célállomásra vonatkozó biztonsági iránymutatásokat	He leído las directrices de seguridad del destino XXX.	Ho letto le linee guida per la sicurezza della destinazione XXX	Прочитао/ла сам безбедносне смернице одредишта XXX	Am citit ghidurile de siguranță ale destinației xxx
safety_guidelines_tip	You can view the file later via the screen "Safety Guidelines"	Sie können die Datei später über die Anzeige "Sicherheitsrichtlinien" wieder öffnen	Możesz otworzyć plik ponownie później poprzez ekran „Wytyczne bezpieczeństwa”.	Вы можете открыть файл позже через меню «Указания по безопасности»	U kunt het bestand later via de weergave 'Veiligheidsrichtlijnen' opnieuw openen	Vous pourrez consulter le fichier plus tard sur l'écran « Consignes de sécurité »	Soubor si můžete zobrazit později prostřednictvím obrazovky „Bezpečnostní směrnice“	Ви можете переглянути файл пізніше через екран «Правила безпеки»	Kasnije možete vidjeti datoteku putem zaslona „Sigurnosne smjernice”	Μπορείτε να δείτε το αρχείο αργότερα μέσω της οθόνης «Οδηγίες ασφαλείας»	Pode ver o ficheiro mais tarde no ecrã “Diretrizes de Segurança”	Dosyayı daha sonra “Güvenlik Yönergeleri” ekranından görüntüleyebilirsiniz.	Можете да видите файла по-късно чрез екрана „Указания за безопасност“.	Megtekintheti a fájlt később is a „Biztonsági iránymutatások” képernyőn keresztül	Puede ver el archivo más tarde en la pantalla «Directrices de seguridad».	Puoi visualizzare il file in un secondo momento tramite la schermata “Linee guida per la sicurezza”	Датотеку можете погледати касније преко екрана „Безбедносне смернице“	Puteți vizualiza fișierul mai târziu prin intermediul ecranului „Ghiduri de siguranță”
safety_guidelines_display_description	Do not display the safety guidelines of destination XXX anymore	Sicherheitsrichtlinien des Standorts XXX zukünftig nicht mehr anzeigen	Nie pokazuj w przyszłości wytycznych bezpieczeństwa lokalizacji XXX	Больше не показывать указания по безопасности для места дислокации ХХХ.	Veiligheidsrichtlijnen voor de locatie XXX in de toekomst niet meer weergeven	Ne plus afficher les consignes de sécurité concernant la destination XXX	Již nezobrazovat bezpečnostní směrnice místa určení XXX	Більше не відображати правила безпеки пункту призначення XXX	Više nemoj prikazivati Sigurnosne smjernice odredišta XXX	Μην εμφανίζετε πλέον τις οδηγίες ασφαλείας του προορισμού XXX	Não voltar a apresentar as diretrizes de segurança do destino XXX	XXX hedefinin güvenlik yönergelerini artık görüntüleme	Не показвай повече указанията за безопасност за дестинация XXX.	Ne jelenítse meg többször a(z) XXX célállomásra vonatkozó biztonsági iránymutatásokat	No volver a mostrar las directrices de seguridad del destino XXX.	Non visualizzare più le linee guida per la sicurezza della destinazione XXX	Не приказујте више безбедносне смернице одредишта XXX	Nu mai afișați orientările de siguranță ale destinației XXX
safety_guidelines	safety guidelines	Sicherheitsrichtlinien	Wytyczne bezpieczeństwa	Указания по безопасности	Veiligheidsrichtlijnen	consignes de sécurité	bezpečnostní směrnice	правила безпеки	Sigurnosne smjernice	οδηγίες ασφαλείας	diretrizes de segurança	güvenlik yönergeleri	Указания за безопасност	biztonsági iránymutatások	directrices de seguridad	linee guida per la sicurezza	безбедносне смернице	Ghiduri de siguranță
biometrics_required_mu	Biometrics Required - Please use your single user device	Biometrie benötigt – Bitte verwenden Sie zur Authentifizierung das verknüpfte Endgerät	Wymagane dane biometryczne – w celu uwierzytelnienia użyj powiązanego urządzenia	Требуются биометрические данные — воспользуйтесь подключенным устройством для аутентификации	Biometrie noodzakelijk – gebruik het gekoppelde eindapparaat voor authenticatie	Données biométriques requises - Utilisez votre appareil d'utilisateur unique	Vyžadována biometrie – použijte prosím své zařízení jednoho uživatele	Потрібна біометрія — скористайтеся однокористувацьким пристроєм	Potrebna je biometrija – upotrijebite povezani krajnji uređaj	Απαιτούνται βιομετρικά δεδομένα - Χρησιμοποιήστε τη συσκευή ενός χρήστη	Biometria necessária - Utilize o seu dispositivo de utilizador único	Biyometri gerekli - lütfen tek kullanıcılı cihazınızı kullanın	Изискват се биометрични данни - използвайте вашето устройство за един потребител	Biometria szükséges – Kérjük, használja az egyfelhasználós eszközét	Datos biométricos obligatorios - Utilice su dispositivo de usuario único.	Dati biometrici richiesti - Usa il tuo dispositivo a uso individuale	Потребна је биометрија - користите свој уређај за једног корисника	Biometrică necesară - Vă rugăm să utilizați dispozitivul dvs. de utilizator unic
biometrics_required_su	Biometrics Required - Please update your settings	Biometrie benötigt – Bitte aktualisieren Sie die Einstellungen	Wymagane dane biometryczne – zaktualizuj ustawienia	Требуются биометрические данные — обновите настройки	Biometrie noodzakelijk – Actualiseer de instelling	Données biométriques requises - Mettez à jour vos paramètres	Vyžadována biometrie – aktualizujte prosím své nastavení	Потрібна біометрія — оновіть налаштування	Potrebna je biometrija – ažurirajte postavke	Απαιτούνται βιομετρικά δεδομένα - Ενημερώστε τις ρυθμίσεις σας	Biometria necessária - Atualize as suas definições	Biyometri gerekli - lütfen ayarlarınızı güncelleyin	Изискват се биометрични данни - актуализирайте настройките си	Biometria szükséges – Kérjük, frissítse a beállításait	Datos biométricos obligatorios - Actualice sus ajustes.	Dati biometrici richiesti - Aggiorna le tue impostazioni	Потребна је биометрија - ажурирајте своја подешавања	Biometrică necesară - Vă rugăm să vă actualizați setările
wrong_role_auth_error	The account you are trying to authenticate doesn't have the %s role	Dieser Account verfügt nicht über die Rolle %s	To konto nie posiada roli %s	У этой учетной записи нет роли %s	Dit account beschikt niet over de rol %s	Le compte sur lequel vous tentez de vous authentifier ne dispose pas du rôle %s	Účet, který se snažíte ověřit, nemá roli %s	У облікового запису, який ви намагаєтеся аутентифікувати, немає ролі «%s»	Račun koji pokušavate autentificirati nema ulogu %s	Ο λογαριασμός που προσπαθείτε να ελέγξετε την ταυτότητα δεν έχει το ρόλο %s	A conta que está a tentar autenticar não tem a função de %s	Doğrulamaya çalıştığınız hesap %s rolüne sahip değil	Акаунтът, който се опитвате да удостоверите, няма роля %s	A fiók, amelyet hitelesíteni szeretne, nem rendelkezik a(z) %s szerepkörrel	La cuenta que está intentando autenticar no tiene el rol %s.	L’account che stai tentando di autenticare non ha il ruolo %s.	Налог који покушавате да потврдите нема улогу %s	Contul pe care încercați să îl autentificați nu are rolul %
driver_not_in_list	You need to add a driver profile on multi-user device first before linking	Bitte erstellen Sie ein Fahrer-Profil vor dem Erstellen der Verknüpfung	Przed utworzeniem połączenia utwórz profil kierowcy	Создайте профиль водителя перед созданием соединения	Maak een bestuurdersprofiel voordat u de koppeling maakt	Vous devez ajouter un profil de chausseur sur l'appareil multi-utilisateur avant d'établir une liaison	You need to add a driver profile on multi-user device first before linking	Перед з'єднанням необхідно додати профіль водія на багатокористувацький пристрій	Morate dodati novi profil vozača prije povezivanja	Πρέπει πρώτα να προσθέσετε ένα προφίλ προγράμματος οδήγησης σε συσκευή πολλών χρηστών πριν τη σύνδεση	Tem de adicionar um perfil de motorista num dispositivo multiutilizador antes de associar	Bağlantı öncesinde çok kullanıcılı cihazda sürücü profili eklemeniz gerekiyor	Първо трябва да добавите профил на водача, преди да свържете	Az összekapcsolás előtt hozzá kell adnia egy járművezetői profilt a többfelhasználós eszközén	Debe añadir un perfil de conductor en el dispositivo multiusuario antes de crear un enlace.	You need to add a driver profile on multi-user device first before linking	Морате прво да додате профил возача на уређај са више корисника пре повезивања	Trebuie să adăugați mai întâi un profil de driver pe dispozitivul multi-utilizator înainte de a conecta
view_qr_code	View QR code	QR-Code anzeigen	Wyświetl kod QR	Показать QR-код	QR-code weergeven	Afficher le code QR	Zobrazit QR kód	Переглянути QR-код	Prikaži QR kôd	Προβολή κωδικού QR	Ver código QR	QR kodu göster	Виж QR кода	QR-kód megtekintése	Ver código QR	Visualizza il codice QR	Погледај QR код	Vizualizați codul QR
delete_safety_guidelines_description	Deleting the safety guidelines will require you to read and accept them again when needed	Durch das Löschen der Datei müssen die Sicherheitsrichtlinien bei der nächsten Registrierung erneut gelesen & bestätigt werden	W razie usunięcia pliku przy następnej rejestracji konieczne będzie ponowne przeczytanie i potwierdzenie wytycznych bezpieczeństwa	При удалении файла необходимо прочесть и подтвердить указания по безопасности при следующей регистрации.	Vanwege het verwijderen van het bestand moeten de veiligheidsrichtlijnen bij de volgende registratie opnieuw worden gelezen en bevestigd	La suppression des consignes de sécurité vous obligera à les lire et les accepter à nouveau si nécessaire	Po odstranění bezpečnostních směrnic si je budete muset v případě potřeby znovu přečíst a přijmout.	Якщо видалити правила безпеки, вам доведеться знову прочитати та прийняти їх у разі необхідності	Ako izbrišete Sigurnosne smjernice, po potrebi ćete ih morati ponovno pročitati i prihvatiti	Η διαγραφή των οδηγιών ασφαλείας θα απαιτήσει από εσάς να τις διαβάσετε και να τις αποδεχτείτε ξανά όταν χρειαστεί	Eliminar as diretrizes de segurança requer que as leia e aceite novamente quando for necessário	Güvenlik yönergelerinin silinmesi, gerektiğinde onları tekrar okumanızı ve kabul etmenizi gerektirir	Изтриването на указанията за безопасност ще наложи тяхното повторно прочитане и приемане, когато е необходимо.	Ha törli a biztonsági iránymutatásokat, akkor újra el kell őket olvasnia és fogadnia, amikor szükséges	Si elimina las directrices de seguridad, tendrá que volver a leerlas y aceptarlas cuando sea necesario.	Per l’eliminazione delle linee guida per la sicurezza ti verrà comunque richiesto di leggerle e accettarle di nuovo	Ако избришете безбедносне смернице, од вас ће бити потребно да их прочитате и поново прихватите када то буде потребно	Ștergerea liniilor directoare de siguranță vă va solicita să le citiți și să le acceptați din nou atunci când este nevoie
delete_safety_guidelines_title	Delete safety guidelines	Sicherheitsrichtlinien löschen	Usuń wytyczne bezpieczeństwa	Удалить указания по безопасности	Veiligheidsrichtlijnen verwijderen	Supprimer les consignes de sécurité	Odstranit bezpečnostní směrnice	Видалити правила безпеки	Izbriši Sigurnosne smjernice	Διαγραφή οδηγιών ασφαλείας	Eliminar diretrizes de segurança	Güvenlik yönergelerini sil	Изтриване на указанията за безопасност	Biztonsági iránymutatások törlése	Eliminar directrices de seguridad	Elimina le linee guida per la sicurezza	Избриши безбедносне смернице	Ștergeți ghidurile de siguranță
safety_guidelines_open_file	Open and read the safety guidelines pdf before going further	Öffnen & lesen Sie die PDF-Datei mit den Sicherheitsrichtlinien, bevor Sie fortfahren	Przed kontynuowaniem otwórz i przeczytaj plik PDF z wytycznymi bezpieczeństwa	Откройте и прочтите файл PDF с указаниями по безопасности, прежде чем продолжить	Open en lees het PDF-bestand met de veiligheidsrichtlijnen voordat u verder gaat	Ouvrez et lisez le PDF des consignes de sécurité avant de continuer	Než budete pokračovat, otevřete a přečtěte si bezpečnostní směrnice ve formátu PDF	Перш ніж продовжити, відкрийте та прочитайте правила безпеки у форматі PDF	Prije nastavka otvorite i pročitajte PDF datoteku Sigurnosnih smjernica	Ανοίξτε και διαβάστε το pdf με τις οδηγίες ασφαλείας προτού συνεχίσετε	Abrir e ler o PDF das diretrizes de segurança antes de continuar	Devam etmeden önce güvenlik yönergeleri pdf’i açın ve okuyun	Отворете и прочетете указанията за безопасност в pdf, преди да продължите	Nyissa meg és olvassa el a biztonsági iránymutatásokat tartalmazó pdf-et, mielőtt folytatná	Abra y lea las directrices de seguridad en pdf antes de continuar.	Apri e leggi il PDF delle linee guida per la sicurezza prima di andare avanti	Отворите и прочитајте PDF са безбедносним смерницама пре него наставите	Deschideți și citiți PDF Ghidul de siguranță înainte de a merge mai departe
identify_driver	Driver identification	Fahrer-Identifikation	Identyfikacja kierowcy	Идентификация водителя	Bestuurdersidentificatie	Identification du chauffeur	Identifikace řidiče	Ідентифікація водія	Identifikacija vozača	Ταυτοποίηση οδηγού	Identificação do motorista	Sürücü kimliği	Идентификация на водача	Járművezető azonosítása	Identificación del conductor	Identificazione del conducente	Идентификација возача	Identificarea șoferului
identify_biometrics_required	You need to activate biometrics before proceeding	Biometrie muss aktiviert sein	Skaner biometryczny musi być aktywny	Необходимо активировать биометрию	Biometrie moet zijn geactiveerd	Vous devez activer les données biométriques avant de continuer	Než budete pokračovat, musíte aktivovat biometrii	Перш ніж продовжити, необхідно активувати біометрію	Prije nastavka morate aktivirati biometriju	Πρέπει να ενεργοποιήσετε τα βιομετρικά δεδομένα προτού συνεχίσετε	É necessário ativar a biometria antes de prosseguir	Devam etmeden önce biyometriği etkinleştirmeniz gerekiyor	Преди да продължите, трябва да активирате биометричните данни	A továbblépés előtt aktiválnia kell a biometriát	Debe activar los datos biométricos antes de continuar.	Devi attivare i dati biometrici prima di procedere	Пре него што наставите, морате да активирате биометрију	Trebuie să activați biometrie înainte de a continua
ongoing_link_warning	There is already an ongoing link. You must unlink before establishing another link	Es besteht bereits eine aktive Verknüpfung. Diese muss erst beendet werden, bevor eine neue Verknüpfung erstellt werden kann.	Istnieje już aktywne powiązanie. Należy je zakończyć przed utworzeniem nowego powiązania.	Уже есть активное соединение. Для создания нового соединения необходимо отключить старое.	Er bestaat al een actieve koppeling. Deze moet worden beëindigd, voordat een nieuwe koppeling kan worden gemaakt.	Une liaison active existe déjà. Vous devez annuler cette liaison avant d'en établir une autre	There is already an ongoing link. You must unlink before establishing another link	З'єднання вже існує. Треба відмінити його, перш ніж встановлювати інше	Već postoji aktivno povezivanje. Morate ga poništiti prije uspostavljanja nove veze	Υπάρχει ήδη ένας ενεργός σύνδεσμος. Πρέπει να καταργήσετε τον σύνδεσμο προτού δημιουργήσετε έναν άλλον	Já existe uma associação ativa. Deve remover a associação antes de criar outra.	Zaten devam eden bir bağlantı var. Başka bir bağlantı kurmadan bağlantıyı kaldırmalısınız	Вече съществува постоянна връзка. Трябва да премахнете връзката, преди да създадете друга връзка.	Már létezik egy folyamatos kapcsolat. Új kapcsolat létrehozása előtt meg kell szüntetnie a korábbit	There is already an ongoing link. Debe cancelar el enlace antes de establecer otro enlace.	There is already an ongoing link. You must unlink before establishing another link	Већ постоји директна веза. Морате прекинути везу пре успостављања друге везе	Există deja un link continuu. Trebuie să vă dezlipiți înainte de a stabili un alt link
safety_guidelines_confirm	Please confirm that you have read the safety guidelines.	Bitte bestätigen Sie, dass Sie die Sicherheitsrichtlinien gelesen haben	Potwierdź zapoznanie się z wytycznymi bezpieczeństwa	Подтвердите, что ознакомились с указаниями по безопасности	Bevestig dat u de veiligheidsrichtlijnen hebt gelezen	Confirmez que vous avez lu les consignes de sécurité.	Potvrďte prosím, že jste si přečetl/a bezpečnostní směrnice.	Підтвердіть ознайомлення з правилами безпеки.	Potvrdite da ste pročitali Sigurnosne smjernice.	Επιβεβαιώστε ότι έχετε διαβάσει τις οδηγίες ασφαλείας.	Confirme que leu as diretrizes de segurança.	Lütfen güvenlik yönergelerini okuduğunuzu onaylayın.	Потвърдете, че сте прочели указанията за безопасност.	Kérjük, erősítse meg, hogy elolvasta a biztonsági iránymutatásokat.	Confirme que ha leído las directrices de seguridad.	Conferma di aver letto le linee guida per la sicurezza.	Потврдите да сте прочитали безбедносне смернице.	Vă rugăm să confirmați că ați citit ghidurile de siguranță.
driver_identification	Driver identification	Fahrer-Identifikation	Identyfikacja kierowcy	Идентификация водителя	Bestuurdersidentificatie	Identification du chauffeur	Identifikace řidiče	Ідентифікація водія	Identifikacija vozača	Ταυτοποίηση οδηγού	Identificação do motorista	Sürücü kimliği	Идентификация на водача	Járművezető azonosítása	Identificación del conductor	Identificazione del conducente	Идентификација возача	Identificarea șoferului
wrong_user_link	Wrong account	Falscher Account	Błędne konto	Неправильная учетная запись	Foutief account	Compte erroné	Nesprávný účet	Невірний обліковий запис	Pogrešan račun	Λανθασμένος λογαριασμός	Conta errada	Yanlış hesap	Грешен акаунт	Rossz fiók	Cuenta incorrecta	Account errato	Погрешан налог	Cont greșit
create_certificate	Create certificate	Zertifikat erstellen	Utwórz certyfikat	Создать сертификат	Certificaat maken	Créer le certificat	Vytvořit certifikát	Створити сертифікат	Izradi certifikat	Δημιουργία πιστοποιητικού	Criar certificado	Sertifika oluştur	Създаване на сертификат	Bizonyítvány létrehozása	Crear certificado	Crea certificato	Креирај сертификат	Creați certificat
reset_pin	Reset PIN	PIN zurücksetzen	Zresetuj PIN	Сбросить PIN	PIN resetten	Réinitialiser le code PIN	Resetovat PIN	Скинути PIN-код	Resetiraj PIN	Επαναφορά PIN	Redefinir PIN	PIN’ı sıfırla	Нулиране на ПИН	PIN visszaállítása	Restablecer PIN	Reimposta il PIN	Ресетуј PIN	Resetați știftul
problems_qr	Problems reading the QR code?	Probleme beim Scannen des QR-Codes?	Problemy z zeskanowaniem kodu QR?	Возникли проблемы при сканировании QR-кода?	Problemen bij het scannen van de QR-code?	Vous ne parvenez pas à lire le code QR ?	Problémy se čtením QR kódu?	Проблеми зі зчитуванням QR-коду?	Problemi s čitanjem QR kôda?	Προβλήματα κατά την ανάγνωση του κωδικού QR;	Problemas ao ler o código QR?	QR kodu okunurken sorun mu var?	Имате проблеми с разчитането на QR кода?	Problémába ütközött a QR-kód beolvasásakor?	¿Problemas para leer el código QR?	Problemi a leggere il codice QR?	Проблеми са читањем QR кода?	Probleme citind codul QR?
display_qr_text	Display QR code as text	Anzeige QR-Code als Text	Wyświetl kod QR jako tekst	Показать QR-код текстом	QR-code weergeven als tekst	Afficher le code QR sous forme de texte	Zobrazit QR kód jako text	Відобразити QR-код як текст	Prikaži QR kôd kao tekst	Προβολή κωδικού QR ως κείμενο	Apresentar código QR como texto	QR kodu metin olarak göster	Показване на QR кода като текст	QR-kód megjelenítése szövegként	Mostrar el código QR como texto	Mostra il codice QR come testo	Прикажи QR код као текст	Afișați codul QR ca text
display_qr_picture	Display QR code as picture	Anzeige QR-Code als Bild	Wyświetl kod QR jako obraz	Показать QR-код изображением	QR-code weergeven als afbeelding	Afficher le code QR sous forme d'image	Zobrazit QR kód jako obrázek	Відобразити QR-код як зображення	Prikaži QR kôd kao sliku	Προβολή κωδικού QR ως εικόνα	Apresentar código QR como imagem	QR kodu resim olarak göster	Показване на QR кода като снимка	QR-kód megjelenítése képként	Mostrar el código QR como imagen	Mostra il codice QR come immagine	Прикажи QR код као слику	Afișați codul QR ca imagine
information_destination	Information from destination	Standort-Informationen	Informacje o lokalizacji	Информация о местоположении	Locatiegegevens	Informations de la destination	Informace z místa určení	Інформація від пункту призначення	Informacije odredišta	Πληροφορίες από τον προορισμό	Informação do destino	Hedef bilgisi	Информация от дестинацията	Információ a célállomástól	Información del destino	Informazioni dalla destinazione	Информације са одредишта	Informații de la destinație
are_you_sure_account	Are you sure you want to delete your account?	Sind Sie sich sicher, dass Sie Ihren Account löschen wollen?	Czy na pewno chcesz usunąć swoje konto?	Вы уверены, что хотите удалить учетную запись?	Weet u zeker dat u uw account wilt verwijderen?	Voulez-vous vraiment supprimer votre compte ?	Jste si jisti, že chcete svůj účet odstranit?	Дійсно видалити обліковий запис?	Zbilja želite izbrisati svoj račun?	Είστε βέβαιοι ότι θέλετε να διαγράψετε τον λογαριασμό σας;	Tem a certeza de que quer eliminar a sua conta?	Hesabınızı silmek istediğinizden emin misiniz?	Сигурни ли сте, че искате да изтриете акаунта си?	Biztosan törölni szeretné a fiókját?	¿Seguro que desea eliminar su cuenta?	Confermi di voler eliminare l’account?	Да ли сте сигурни да желите избрисати свој налог?	Ești sigur că vrei să -ți ștergi contul?
are_you_sure_undone	This action cannot be undone.	Dies kann nicht rückgängig gemacht werden.	Tej czynności nie można cofnąć.	Это действие нельзя аннулировать.	Dit kan niet worden hersteld.	Cette action est irréversible.	Tuto akci nelze vrátit.	Цю дію не можна відмінити.	Ta se radnja ne može poništiti.	Αυτή η ενέργεια δεν μπορεί να αναιρεθεί.	Esta ação não pode ser revertida.	Bu eylem geri alınamaz.	Това действие не може да бъде отменено.	Ezt a lépést nem lehet visszavonni.	Esta acción no se puede deshacer.	Questa azione non può essere annullata.	Ова радња се не може поништити.	Această acțiune nu poate fi anulată.
delete_account	Delete account	Account löschen	Usuń konto	Удалить учетную запись	Account verwijderen	Supprimer le compte	Odstranit účet	Видалити обліковий запис	Izbriši račun	Διαγραφή λογαριασμού	Eliminar conta	Hesabı sil	Изтриване на акаунт	Fiók törlése	Eliminar cuenta	Elimina l’account	Избриши налог	Șterge cont
no_expiration	No expiration date	Kein Ablaufdatum	Brak daty ważności	Нет срока действия	Geen vervaldatum	Aucune date d'expiration	Žádné datum konce platnosti	Немає терміну дії	Nema datuma isteka	Καμία ημερομηνία λήξης	Sem prazo de validade	Son süre yok	Без срок	Nincs lejárati idő	Sin fecha de caducidad	Nessuna data di scadenza	Нема рока трајања	Fără dată de expirare
certificate_save_message	You can now store the certificate on your mobile app	Sie können das Zertifikat nun in Ihrer mobilen App ablegen.	Możesz zapisać certyfikat w swojej aplikacji mobilnej.	Теперь можно сохранить сертификат в мобильном приложении.	U kunt nu het certificaat in uw mobiele app vastleggen.	Vous pouvez maintenant enregistrer le certificat dans votre application mobile	Certifikát si nyní můžete uložit do mobilní aplikace	Тепер ви можете зберегти сертифікат у своєму мобільному застосунку	Sada možete spremiti certifikat u mobilnoj aplikaciji	Τώρα μπορείτε να αποθηκεύσετε το πιστοποιητικό στην εφαρμογή σας για κινητά	Já pode guardar o certificado na sua app móvel	Artık sertifikayı mobil uygulamanızda saklayabilirsiniz	Вече можете да съхранявате сертификата в приложението	Most már tárolhatja a bizonyítványt a mobilalkalmazásában	Ahora puede almacenar el certificado en su aplicación móvil.	Ora puoi conservare il certificato nell’app mobile	Сада можете да сачувате сертификат у својој мобилној апликацији	Acum puteți stoca certificatul pe aplicația dvs. mobilă
certificate_mu_message	Certificates can only be edited in your personal device	Zertifikate können ausschließlich in Ihrem persönlichen Endgerät geändert werden	Certyfikaty można zmieniać wyłącznie na własnym urządzeniu	Сертификаты можно изменить только на личном устройстве	Certificaat kunnen uitsluitend in uw persoonlijke eindapparaat worden gewijzigd	Les certificats ne peuvent être modifiés que sur votre appareil personnel	Certifikáty lze upravovat pouze ve vašem osobním zařízení	Сертифікати можна редагувати лише на вашому персональному пристрої	Certifikati se mogu uređivati na osobnom uređaju	Τα πιστοποιητικά μπορούν να υποβληθούν σε επεξεργασία μόνο στην προσωπική σας συσκευή	Só pode editar os certificados no seu dispositivo pessoal	Sertifikalar yalnızca kişisel cihazınızda düzenlenebilir	Сертификатите могат да се редактират само на личното ви устройство.	A bizonyítványok csak a saját eszközén szerkeszthetők	Los certificados solo se pueden editar en su dispositivo personal.	I certificati possono essere modificati solo nel tuo dispositivo personale	Сертификати се могу уређивати само на вашем личном уређају	Certificatele pot fi editate numai în dispozitivul personal
driver_certificates	Driver certificates	Fahrer-Zertifikate	Certyfikaty kierowcy	Водительские сертификаты	Bestuurderscertificaten	Certificats de chauffeur	Certifikáty řidiče	Сертифікати водія	Certifikati vozača	Πιστοποιητικά οδηγού	Certificados de motorista	Sürücü sertifikaları	Сертификати за водачи	Járművezetői bizonyítványok	Certificados del conductor	Certificati del conducente	Сертификати возача	Certificate de șofer
certificate_details	Certificate details	Zertifikat-Details	Szczegóły certyfikatu	Детали о сертификате	Certificaatdetails	Détails du certificat	Podrobnosti certifikátu	Дані сертифіката	Detalji o certifikatu	Στοιχεία πιστοποιητικού	Detalhes do certificado	Sertifika ayrıntıları	Данни за сертификата	Bizonyítványadatok	Detalles del certificado	Dettagli del certificato	Подаци о сертификату	Detalii despre certificat
add_certificate	Add certificate	Zertifikat hinzufügen	Dodaj certyfikat	Добавить сертификат	Certificaat toevoegen	Ajouter un certificat	Přidat certifikát	Додати сертифікат	Dodaj certifikat	Προσθήκη πιστοποιητικού	Adicionar certificado	Sertifika ekle	Добавяне на сертификат	Bizonyítvány hozzáadása	Añadir certificado	Aggiungi certificato	Додај сертификат	Adăugați certificat
validity	Valid until	Gültig bis	Ważny do	Действителен до	Geldig t/m	Valide jusqu'au	Platnost do	Діє до	Vrijedi do	Έγκυρο έως	Válido até	Geçerlilik bitişi	Валиден до	Érvényességi idő	Válido hasta el	Valido fino:	Важи до	Valabil până la
